team_code,team_name,team_flag,team_slug,team_schedule_url,team_schedule_json,match_id,stage,stage_name,group,venue,kickoff_utc,taipei_date,taipei_time,is_home,opponent_code,opponent_name,opponent_flag,opponent_slug,match_url,match_answer_url,match_answer_json,live_score_url,calendar_ics,ai_prediction_url
ALG,Algeria,🇩🇿,algeria,https://ay-worldcup2026.zeabur.app/team/algeria,https://ay-worldcup2026.zeabur.app/team/algeria.json,19,group,Group J,J,Kansas City Stadium,2026-06-17T01:00:00.000Z,2026-06-17,09:00,false,ARG,Argentina,🇦🇷,argentina,https://ay-worldcup2026.zeabur.app/match/19,https://ay-worldcup2026.zeabur.app/match/19/answer,https://ay-worldcup2026.zeabur.app/match/19/answer.json,https://ay-worldcup2026.zeabur.app/live-score/argentina-algeria,https://ay-worldcup2026.zeabur.app/match/19.ics,https://ay-worldcup2026.zeabur.app/?match=19&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=algeria_19
ALG,Algeria,🇩🇿,algeria,https://ay-worldcup2026.zeabur.app/team/algeria,https://ay-worldcup2026.zeabur.app/team/algeria.json,44,group,Group J,J,San Francisco Bay Area Stadium,2026-06-23T03:00:00.000Z,2026-06-23,11:00,false,JOR,Jordan,🇯🇴,jordan,https://ay-worldcup2026.zeabur.app/match/44,https://ay-worldcup2026.zeabur.app/match/44/answer,https://ay-worldcup2026.zeabur.app/match/44/answer.json,https://ay-worldcup2026.zeabur.app/live-score/jordan-algeria,https://ay-worldcup2026.zeabur.app/match/44.ics,https://ay-worldcup2026.zeabur.app/?match=44&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=algeria_44
ALG,Algeria,🇩🇿,algeria,https://ay-worldcup2026.zeabur.app/team/algeria,https://ay-worldcup2026.zeabur.app/team/algeria.json,69,group,Group J,J,Kansas City Stadium,2026-06-28T02:00:00.000Z,2026-06-28,10:00,true,AUT,Austria,🇦🇹,austria,https://ay-worldcup2026.zeabur.app/match/69,https://ay-worldcup2026.zeabur.app/match/69/answer,https://ay-worldcup2026.zeabur.app/match/69/answer.json,https://ay-worldcup2026.zeabur.app/live-score/algeria-austria,https://ay-worldcup2026.zeabur.app/match/69.ics,https://ay-worldcup2026.zeabur.app/?match=69&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=algeria_69
ARG,Argentina,🇦🇷,argentina,https://ay-worldcup2026.zeabur.app/team/argentina,https://ay-worldcup2026.zeabur.app/team/argentina.json,19,group,Group J,J,Kansas City Stadium,2026-06-17T01:00:00.000Z,2026-06-17,09:00,true,ALG,Algeria,🇩🇿,algeria,https://ay-worldcup2026.zeabur.app/match/19,https://ay-worldcup2026.zeabur.app/match/19/answer,https://ay-worldcup2026.zeabur.app/match/19/answer.json,https://ay-worldcup2026.zeabur.app/live-score/argentina-algeria,https://ay-worldcup2026.zeabur.app/match/19.ics,https://ay-worldcup2026.zeabur.app/?match=19&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=argentina_19
ARG,Argentina,🇦🇷,argentina,https://ay-worldcup2026.zeabur.app/team/argentina,https://ay-worldcup2026.zeabur.app/team/argentina.json,43,group,Group J,J,Dallas Stadium,2026-06-22T17:00:00.000Z,2026-06-23,01:00,true,AUT,Austria,🇦🇹,austria,https://ay-worldcup2026.zeabur.app/match/43,https://ay-worldcup2026.zeabur.app/match/43/answer,https://ay-worldcup2026.zeabur.app/match/43/answer.json,https://ay-worldcup2026.zeabur.app/live-score/argentina-austria,https://ay-worldcup2026.zeabur.app/match/43.ics,https://ay-worldcup2026.zeabur.app/?match=43&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=argentina_43
ARG,Argentina,🇦🇷,argentina,https://ay-worldcup2026.zeabur.app/team/argentina,https://ay-worldcup2026.zeabur.app/team/argentina.json,70,group,Group J,J,Dallas Stadium,2026-06-28T02:00:00.000Z,2026-06-28,10:00,false,JOR,Jordan,🇯🇴,jordan,https://ay-worldcup2026.zeabur.app/match/70,https://ay-worldcup2026.zeabur.app/match/70/answer,https://ay-worldcup2026.zeabur.app/match/70/answer.json,https://ay-worldcup2026.zeabur.app/live-score/jordan-argentina,https://ay-worldcup2026.zeabur.app/match/70.ics,https://ay-worldcup2026.zeabur.app/?match=70&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=argentina_70
AUS,Australia,🇦🇺,australia,https://ay-worldcup2026.zeabur.app/team/australia,https://ay-worldcup2026.zeabur.app/team/australia.json,6,group,Group D,D,BC Place Vancouver,2026-06-14T04:00:00.000Z,2026-06-14,12:00,true,TUR,Türkiye,🇹🇷,turkiye,https://ay-worldcup2026.zeabur.app/match/6,https://ay-worldcup2026.zeabur.app/match/6/answer,https://ay-worldcup2026.zeabur.app/match/6/answer.json,https://ay-worldcup2026.zeabur.app/live-score/australia-turkiye,https://ay-worldcup2026.zeabur.app/match/6.ics,https://ay-worldcup2026.zeabur.app/?match=6&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=australia_6
AUS,Australia,🇦🇺,australia,https://ay-worldcup2026.zeabur.app/team/australia,https://ay-worldcup2026.zeabur.app/team/australia.json,32,group,Group D,D,Seattle Stadium,2026-06-19T19:00:00.000Z,2026-06-20,03:00,false,USA,United States,🇺🇸,usa,https://ay-worldcup2026.zeabur.app/match/32,https://ay-worldcup2026.zeabur.app/match/32/answer,https://ay-worldcup2026.zeabur.app/match/32/answer.json,https://ay-worldcup2026.zeabur.app/live-score/usa-australia,https://ay-worldcup2026.zeabur.app/match/32.ics,https://ay-worldcup2026.zeabur.app/?match=32&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=australia_32
AUS,Australia,🇦🇺,australia,https://ay-worldcup2026.zeabur.app/team/australia,https://ay-worldcup2026.zeabur.app/team/australia.json,60,group,Group D,D,San Francisco Bay Area Stadium,2026-06-26T02:00:00.000Z,2026-06-26,10:00,false,PAR,Paraguay,🇵🇾,paraguay,https://ay-worldcup2026.zeabur.app/match/60,https://ay-worldcup2026.zeabur.app/match/60/answer,https://ay-worldcup2026.zeabur.app/match/60/answer.json,https://ay-worldcup2026.zeabur.app/live-score/paraguay-australia,https://ay-worldcup2026.zeabur.app/match/60.ics,https://ay-worldcup2026.zeabur.app/?match=60&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=australia_60
AUT,Austria,🇦🇹,austria,https://ay-worldcup2026.zeabur.app/team/austria,https://ay-worldcup2026.zeabur.app/team/austria.json,20,group,Group J,J,San Francisco Bay Area Stadium,2026-06-17T04:00:00.000Z,2026-06-17,12:00,true,JOR,Jordan,🇯🇴,jordan,https://ay-worldcup2026.zeabur.app/match/20,https://ay-worldcup2026.zeabur.app/match/20/answer,https://ay-worldcup2026.zeabur.app/match/20/answer.json,https://ay-worldcup2026.zeabur.app/live-score/austria-jordan,https://ay-worldcup2026.zeabur.app/match/20.ics,https://ay-worldcup2026.zeabur.app/?match=20&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=austria_20
AUT,Austria,🇦🇹,austria,https://ay-worldcup2026.zeabur.app/team/austria,https://ay-worldcup2026.zeabur.app/team/austria.json,43,group,Group J,J,Dallas Stadium,2026-06-22T17:00:00.000Z,2026-06-23,01:00,false,ARG,Argentina,🇦🇷,argentina,https://ay-worldcup2026.zeabur.app/match/43,https://ay-worldcup2026.zeabur.app/match/43/answer,https://ay-worldcup2026.zeabur.app/match/43/answer.json,https://ay-worldcup2026.zeabur.app/live-score/argentina-austria,https://ay-worldcup2026.zeabur.app/match/43.ics,https://ay-worldcup2026.zeabur.app/?match=43&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=austria_43
AUT,Austria,🇦🇹,austria,https://ay-worldcup2026.zeabur.app/team/austria,https://ay-worldcup2026.zeabur.app/team/austria.json,69,group,Group J,J,Kansas City Stadium,2026-06-28T02:00:00.000Z,2026-06-28,10:00,false,ALG,Algeria,🇩🇿,algeria,https://ay-worldcup2026.zeabur.app/match/69,https://ay-worldcup2026.zeabur.app/match/69/answer,https://ay-worldcup2026.zeabur.app/match/69/answer.json,https://ay-worldcup2026.zeabur.app/live-score/algeria-austria,https://ay-worldcup2026.zeabur.app/match/69.ics,https://ay-worldcup2026.zeabur.app/?match=69&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=austria_69
BEL,Belgium,🇧🇪,belgium,https://ay-worldcup2026.zeabur.app/team/belgium,https://ay-worldcup2026.zeabur.app/team/belgium.json,16,group,Group G,G,Seattle Stadium,2026-06-15T19:00:00.000Z,2026-06-16,03:00,true,EGY,Egypt,🇪🇬,egypt,https://ay-worldcup2026.zeabur.app/match/16,https://ay-worldcup2026.zeabur.app/match/16/answer,https://ay-worldcup2026.zeabur.app/match/16/answer.json,https://ay-worldcup2026.zeabur.app/live-score/belgium-egypt,https://ay-worldcup2026.zeabur.app/match/16.ics,https://ay-worldcup2026.zeabur.app/?match=16&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=belgium_16
BEL,Belgium,🇧🇪,belgium,https://ay-worldcup2026.zeabur.app/team/belgium,https://ay-worldcup2026.zeabur.app/team/belgium.json,39,group,Group G,G,Los Angeles Stadium,2026-06-21T19:00:00.000Z,2026-06-22,03:00,true,IRN,Iran,🇮🇷,iran,https://ay-worldcup2026.zeabur.app/match/39,https://ay-worldcup2026.zeabur.app/match/39/answer,https://ay-worldcup2026.zeabur.app/match/39/answer.json,https://ay-worldcup2026.zeabur.app/live-score/belgium-iran,https://ay-worldcup2026.zeabur.app/match/39.ics,https://ay-worldcup2026.zeabur.app/?match=39&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=belgium_39
BEL,Belgium,🇧🇪,belgium,https://ay-worldcup2026.zeabur.app/team/belgium,https://ay-worldcup2026.zeabur.app/team/belgium.json,64,group,Group G,G,BC Place Vancouver,2026-06-27T03:00:00.000Z,2026-06-27,11:00,false,NZL,New Zealand,🇳🇿,new-zealand,https://ay-worldcup2026.zeabur.app/match/64,https://ay-worldcup2026.zeabur.app/match/64/answer,https://ay-worldcup2026.zeabur.app/match/64/answer.json,https://ay-worldcup2026.zeabur.app/live-score/new-zealand-belgium,https://ay-worldcup2026.zeabur.app/match/64.ics,https://ay-worldcup2026.zeabur.app/?match=64&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=belgium_64
BIH,Bosnia & Herzegovina,🇧🇦,bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/team/bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/team/bosnia-and-herzegovina.json,3,group,Group B,B,Toronto Stadium,2026-06-12T19:00:00.000Z,2026-06-13,03:00,false,CAN,Canada,🇨🇦,canada,https://ay-worldcup2026.zeabur.app/match/3,https://ay-worldcup2026.zeabur.app/match/3/answer,https://ay-worldcup2026.zeabur.app/match/3/answer.json,https://ay-worldcup2026.zeabur.app/live-score/canada-bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/match/3.ics,https://ay-worldcup2026.zeabur.app/?match=3&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=bosnia-and-herzegovina_3
BIH,Bosnia & Herzegovina,🇧🇦,bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/team/bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/team/bosnia-and-herzegovina.json,26,group,Group B,B,Los Angeles Stadium,2026-06-18T19:00:00.000Z,2026-06-19,03:00,false,SUI,Switzerland,🇨🇭,switzerland,https://ay-worldcup2026.zeabur.app/match/26,https://ay-worldcup2026.zeabur.app/match/26/answer,https://ay-worldcup2026.zeabur.app/match/26/answer.json,https://ay-worldcup2026.zeabur.app/live-score/switzerland-bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/match/26.ics,https://ay-worldcup2026.zeabur.app/?match=26&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=bosnia-and-herzegovina_26
BIH,Bosnia & Herzegovina,🇧🇦,bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/team/bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/team/bosnia-and-herzegovina.json,52,group,Group B,B,Seattle Stadium,2026-06-24T19:00:00.000Z,2026-06-25,03:00,true,QAT,Qatar,🇶🇦,qatar,https://ay-worldcup2026.zeabur.app/match/52,https://ay-worldcup2026.zeabur.app/match/52/answer,https://ay-worldcup2026.zeabur.app/match/52/answer.json,https://ay-worldcup2026.zeabur.app/live-score/bosnia-and-herzegovina-qatar,https://ay-worldcup2026.zeabur.app/match/52.ics,https://ay-worldcup2026.zeabur.app/?match=52&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=bosnia-and-herzegovina_52
BRA,Brazil,🇧🇷,brazil,https://ay-worldcup2026.zeabur.app/team/brazil,https://ay-worldcup2026.zeabur.app/team/brazil.json,7,group,Group C,C,New York/New Jersey Stadium,2026-06-13T22:00:00.000Z,2026-06-14,06:00,true,MAR,Morocco,🇲🇦,morocco,https://ay-worldcup2026.zeabur.app/match/7,https://ay-worldcup2026.zeabur.app/match/7/answer,https://ay-worldcup2026.zeabur.app/match/7/answer.json,https://ay-worldcup2026.zeabur.app/live-score/brazil-morocco,https://ay-worldcup2026.zeabur.app/match/7.ics,https://ay-worldcup2026.zeabur.app/?match=7&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=brazil_7
BRA,Brazil,🇧🇷,brazil,https://ay-worldcup2026.zeabur.app/team/brazil,https://ay-worldcup2026.zeabur.app/team/brazil.json,29,group,Group C,C,Philadelphia Stadium,2026-06-20T00:30:00.000Z,2026-06-20,08:30,true,HAI,Haiti,🇭🇹,haiti,https://ay-worldcup2026.zeabur.app/match/29,https://ay-worldcup2026.zeabur.app/match/29/answer,https://ay-worldcup2026.zeabur.app/match/29/answer.json,https://ay-worldcup2026.zeabur.app/live-score/brazil-haiti,https://ay-worldcup2026.zeabur.app/match/29.ics,https://ay-worldcup2026.zeabur.app/?match=29&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=brazil_29
BRA,Brazil,🇧🇷,brazil,https://ay-worldcup2026.zeabur.app/team/brazil,https://ay-worldcup2026.zeabur.app/team/brazil.json,49,group,Group C,C,Miami Stadium,2026-06-24T22:00:00.000Z,2026-06-25,06:00,false,SCO,Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿,scotland,https://ay-worldcup2026.zeabur.app/match/49,https://ay-worldcup2026.zeabur.app/match/49/answer,https://ay-worldcup2026.zeabur.app/match/49/answer.json,https://ay-worldcup2026.zeabur.app/live-score/scotland-brazil,https://ay-worldcup2026.zeabur.app/match/49.ics,https://ay-worldcup2026.zeabur.app/?match=49&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=brazil_49
CAN,Canada,🇨🇦,canada,https://ay-worldcup2026.zeabur.app/team/canada,https://ay-worldcup2026.zeabur.app/team/canada.json,3,group,Group B,B,Toronto Stadium,2026-06-12T19:00:00.000Z,2026-06-13,03:00,true,BIH,Bosnia & Herzegovina,🇧🇦,bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/match/3,https://ay-worldcup2026.zeabur.app/match/3/answer,https://ay-worldcup2026.zeabur.app/match/3/answer.json,https://ay-worldcup2026.zeabur.app/live-score/canada-bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/match/3.ics,https://ay-worldcup2026.zeabur.app/?match=3&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=canada_3
CAN,Canada,🇨🇦,canada,https://ay-worldcup2026.zeabur.app/team/canada,https://ay-worldcup2026.zeabur.app/team/canada.json,27,group,Group B,B,BC Place Vancouver,2026-06-18T22:00:00.000Z,2026-06-19,06:00,true,QAT,Qatar,🇶🇦,qatar,https://ay-worldcup2026.zeabur.app/match/27,https://ay-worldcup2026.zeabur.app/match/27/answer,https://ay-worldcup2026.zeabur.app/match/27/answer.json,https://ay-worldcup2026.zeabur.app/live-score/canada-qatar,https://ay-worldcup2026.zeabur.app/match/27.ics,https://ay-worldcup2026.zeabur.app/?match=27&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=canada_27
CAN,Canada,🇨🇦,canada,https://ay-worldcup2026.zeabur.app/team/canada,https://ay-worldcup2026.zeabur.app/team/canada.json,51,group,Group B,B,BC Place Vancouver,2026-06-24T19:00:00.000Z,2026-06-25,03:00,false,SUI,Switzerland,🇨🇭,switzerland,https://ay-worldcup2026.zeabur.app/match/51,https://ay-worldcup2026.zeabur.app/match/51/answer,https://ay-worldcup2026.zeabur.app/match/51/answer.json,https://ay-worldcup2026.zeabur.app/live-score/switzerland-canada,https://ay-worldcup2026.zeabur.app/match/51.ics,https://ay-worldcup2026.zeabur.app/?match=51&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=canada_51
CPV,Cape Verde,🇨🇻,cape-verde,https://ay-worldcup2026.zeabur.app/team/cape-verde,https://ay-worldcup2026.zeabur.app/team/cape-verde.json,14,group,Group H,H,Atlanta Stadium,2026-06-15T16:00:00.000Z,2026-06-16,00:00,false,ESP,Spain,🇪🇸,spain,https://ay-worldcup2026.zeabur.app/match/14,https://ay-worldcup2026.zeabur.app/match/14/answer,https://ay-worldcup2026.zeabur.app/match/14/answer.json,https://ay-worldcup2026.zeabur.app/live-score/spain-cape-verde,https://ay-worldcup2026.zeabur.app/match/14.ics,https://ay-worldcup2026.zeabur.app/?match=14&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=cape-verde_14
CPV,Cape Verde,🇨🇻,cape-verde,https://ay-worldcup2026.zeabur.app/team/cape-verde,https://ay-worldcup2026.zeabur.app/team/cape-verde.json,37,group,Group H,H,Miami Stadium,2026-06-21T22:00:00.000Z,2026-06-22,06:00,false,URU,Uruguay,🇺🇾,uruguay,https://ay-worldcup2026.zeabur.app/match/37,https://ay-worldcup2026.zeabur.app/match/37/answer,https://ay-worldcup2026.zeabur.app/match/37/answer.json,https://ay-worldcup2026.zeabur.app/live-score/uruguay-cape-verde,https://ay-worldcup2026.zeabur.app/match/37.ics,https://ay-worldcup2026.zeabur.app/?match=37&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=cape-verde_37
CPV,Cape Verde,🇨🇻,cape-verde,https://ay-worldcup2026.zeabur.app/team/cape-verde,https://ay-worldcup2026.zeabur.app/team/cape-verde.json,65,group,Group H,H,Houston Stadium,2026-06-27T00:00:00.000Z,2026-06-27,08:00,true,KSA,Saudi Arabia,🇸🇦,saudi-arabia,https://ay-worldcup2026.zeabur.app/match/65,https://ay-worldcup2026.zeabur.app/match/65/answer,https://ay-worldcup2026.zeabur.app/match/65/answer.json,https://ay-worldcup2026.zeabur.app/live-score/cape-verde-saudi-arabia,https://ay-worldcup2026.zeabur.app/match/65.ics,https://ay-worldcup2026.zeabur.app/?match=65&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=cape-verde_65
COL,Colombia,🇨🇴,colombia,https://ay-worldcup2026.zeabur.app/team/colombia,https://ay-worldcup2026.zeabur.app/team/colombia.json,24,group,Group K,K,Mexico City Stadium,2026-06-18T02:00:00.000Z,2026-06-18,10:00,false,UZB,Uzbekistan,🇺🇿,uzbekistan,https://ay-worldcup2026.zeabur.app/match/24,https://ay-worldcup2026.zeabur.app/match/24/answer,https://ay-worldcup2026.zeabur.app/match/24/answer.json,https://ay-worldcup2026.zeabur.app/live-score/uzbekistan-colombia,https://ay-worldcup2026.zeabur.app/match/24.ics,https://ay-worldcup2026.zeabur.app/?match=24&oracle=1&utm_source=team_schedule_dataset&utm_medium=developer_referral&utm_campaign=wc26_team_schedule_dataset&utm_content=colombia_24
